"anonym_id","duration..in.seconds.","finished","recordeddate","dismiss_1","research_stage","q22","q22_6_text","feeling_stage_1","feeling_stage_2","feeling_stage_3","feeling_stage_4","feeling_stage_5","feeling_stage_6","feeling_stage_7","feeling_stage_8","feeling_stage_9","feeling_stage_10","feeling_stage_11","feeling_stage_12","feeling_stage_13","feeling_stage_14","feeling_stage_15","feeling_stage_16","feeling_stage_17","feeling_stage_18","feeling_stage_19","feeling_stage_20","cause_stage","feeling_general_1","cause_general","category_of_work","position","area","gender","age","country","country_other"
78,"538",TRUE,"2025-11-29 23:59:55","Yes","Data analysis","","","4","2","3","3","3","3","0","3","2","0","1","4","1","3","3","0","0","0","0","0","The most intense feeling from the list above was ""interest"". This project is one that is a little outside of my typical field of study, but one that required me to gain the most varied and interesting skills. This gaining of skills led to me experiencing a higher level of interest in the project than typical. As for the level of guilt, which was of similar intensity, I felt a little guilty that I was not able to devote as much effort and work to it as was expected, which would disappoint others.","2","I am constantly working on new a varied projects that force me to learn more about the social world, as well as contribute to knowledge.","Lab/online research","Other","Social sciences","Man","34","United States of America",""
79,"265",TRUE,"2025-11-30 07:03:18","Yes","Project genesis/ first thoughts/ idea creation","","","2","1","1","2","2","2","0","1","0","0","0","1","0","1","2","1","0","0","0","0","[Disappointment] - Having expectations that my collaborators would be equally excited and actively contribute to the discussion because they were the ones who reached out first, wanting to establish the research collaborations. However, they were passive during the first meeting. ","1","I am proud of my work so far, but yet I feel like I have not done enough research as an early career researcher when compared to other ECRs.","Lab/online research","Assistant professor","Social sciences","Man","34","Malaysia",""
80,"237",TRUE,"2025-11-30 09:14:14","Yes","Data analysis","","","4","4","4","2","4","4","1","1","4","1","1","1","1","1","5","1","1","2","2","3","Disappointment because the data did not show the expected effects.","2","I'm a very curious person and I enjoy the scientific process.","Lab/online research","Research assistant","Social sciences","Woman","23","United States of America",""
81,"185",TRUE,"2025-12-01 01:23:09","Yes","Report writing","","","5","3","2","3","4","4","4","3","4","4","0","0","0","0","0","0","0","0","0","0","I enjoy my research. I love my work. ","2","Love for my discipline: language studies","Field research","Full professor","Social sciences","Man","42","Malaysia",""
82,"164",TRUE,"2025-12-01 09:32:23","Yes","Revisions","","","5","0","0","0","2","2","0","0","3","2","0","3","0","0","2","3","0","0","0","5","Reviewer comments indicating they didn't understand what we wrote in the paper. ","2","I like designing experiments, programming, analyzing data. This is fun! ","Lab/online research","Assistant professor","Social sciences","Woman","35","Austria",""
83,"171",TRUE,"2025-12-01 10:44:25","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","5","1","5","4","4","5","1","2","1","2","0","2","1","2","1","1","0","0","0","1","","1","","Lab/online research","Research assistant","Social sciences","Woman","24","Austria",""
84,"290",TRUE,"2025-12-01 14:23:03","Yes","Data analysis","","","4","0","3","2","2","3","2","2","3","0","3","0","3","3","4","4","0","1","0","0","Fear/disappointment - this is the first project I'm leading in a while and I worry that I'm not doing a good job with it. Imposter syndrome, I think.","-1","I work at a teaching centred university so have little time for research. When I do get time to lead research, I feel rusty and under-experienced compared to others at a similar age and career stage, like I'm still just an amateur.","Lab/online research","Associate professor","Social sciences","Woman","44","United Kingdom of Great Britain and Northern Ireland",""
85,"241",TRUE,"2025-12-01 16:12:45","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","2","2","4","2","2","2","0","2","3","2","2","5","3","2","4","3","0","0","0","0","Stress and guilt because everything took longer than expected and I had hoped to launch the study (fMRI) sooner. But also positive feelings about starting something new and exciting.","1","At a high level, I love my job and remain passionate about research and academia. There are also a lot of day to day stressors (deadlines, rejections, job market, etc.)","Lab/online research","Postdoc","Social sciences","Woman","28","United States of America",""
86,"571",TRUE,"2025-12-01 19:36:18","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","7","4","7","3","5","1","0","3","1","6","7","1","4","1","7","6","5","5","5","5","Dismissal of those in power of the importance of this issue to scientific training.","-2","lack of support, financial instability","Field research","Other","Social sciences","Woman","57","Germany",""
87,"561",TRUE,"2025-12-01 19:49:44","Yes","Data collection","","","4","3","5","1","3","5","0","3","2","3","0","0","0","0","3","0","0","0","0","0","My feelings of pride are a result of the progress I have been seeing one of my grad students make on her thesis. She has put in a great deal of time and effort towards the data collection on her project (a project that requires a lot of time/effort) and I have been feeling good about the progress she has made.","1","I think conducting research is a combination of excitement, curiosity, and frustration. Excitement because it's exciting to have new ideas and questions to answer; curiosity because it motivates everything researchers do (hopefully); and frustration because science is hard and things rarely work out they way we anticipate them to.","Lab/online research","Full professor","Social sciences","Man","48","United States of America",""
88,"448",TRUE,"2025-12-01 22:51:33","Yes","Data collection","","","7","6","7","7","7","7","7","7","5","5","5","1","1","1","6","6","1","1","1","6","Interest, pride, joy, pleasure, contentment, love, and admiration were all high due to the excitement of seeing my research come to life through data collection. Disappointment, fear, and anger were all 6 due to participant no shows and issues with data causing stress and anxiety over the data collection process. ","3","The love i’ve gained for the process of conducting research and what results can bring to the field of psychology. ","Lab/online research","Research assistant","Social sciences","Woman","24","United States of America",""
89,"258",TRUE,"2025-12-01 23:11:41","Yes","Data collection","","","6","5","5","5","5","5","3","3","4","1","1","1","1","1","1","1","1","1","1","1","I am generally excited about my research projects when collecting data and analyzing data.  I tend to lose interest a little when writing up the paper... which is a problem! :)","2","I like research when I am interested in the topic or research question.  I don't like a publish-or-perish atmosphere.","Lab/online research","Associate professor","Social sciences","Man","51","United States of America",""
90,"165",TRUE,"2025-12-02 05:36:41","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","3","2","4","5","1","1","1","1","1","1","0","6","0","6","7","4","0","4","0","2","Difficulties with faculty advisor and IRB committee","0","","Clinical research","PhD student","Social sciences","Woman","26","United States of America",""
91,"192",TRUE,"2025-12-02 17:45:20","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","Regret for promising so much in our grant that we now have to figure out how to do.","-1","The lows are somewhat balanced out by occasional highs, but the highs are short-lived.","Lab/online research","Assistant professor","Social sciences","Woman","43","United States of America",""
92,"170",TRUE,"2025-12-03 06:22:43","Yes","Data collection","","","7","7","7","7","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","","3","I learnt a lot. ","Lab/online research","Assistant professor","Physical sciences","Man","33","Malaysia",""
93,"141",TRUE,"2025-12-03 08:53:33","Yes","Data analysis","","","6","4","5","5","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Curiousity about the output","3","The freedom offered in my project to do things I'm interested in","Lab/online research","PhD student","Social sciences","Prefer not to say","27","Netherlands",""
94,"148",TRUE,"2025-12-03 09:52:38","Yes","Waiting for journal's response and revisions","","","7","","","","","","","","","","4","5","5","","3","","","","","","","2","bad salary","Lab/online research","Other","Life sciences","Man","40","Serbia",""
95,"201",TRUE,"2025-12-03 09:56:43","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","0","4","1","0","0","0","0","1","0","5","7","6","4","5","3","3","3","1","5","The IRB and associated admin is a true nightmare ","3","Pride at creating lasting change/improvement. Autonomy.","Clinical research","Full professor","Health sciences","Man","56","United Kingdom of Great Britain and Northern Ireland",""
96,"351",TRUE,"2025-12-03 09:57:34","Yes","Report writing","","","6","0","6","4","4","6","0","0","6","5","0","1","0","0","5","0","2","5","2","2","Relief: completing a successful paper and getting a major grant","2","The ability to decide what I work on and the work with great collaborative colleagues.","Lab/online research","Full professor","Life sciences","Man","54","Germany",""
97,"225",TRUE,"2025-12-03 10:00:07","Yes","Report writing","","","5","5","4","2","6","5","2","4","3","0","0","0","0","0","3","0","0","0","0","0","research is just a game...applicability is by far more complex","2","curiosity is a very good engine!!","Clinical research","Full professor","Health sciences","Man","63","France",""
